show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,year_added,month_added,genre
s2491,Movie,The Married Couples,Hassan AbdulSalam,Egypt,2020-05-21,1981,TV-14,195 min,"Comedies, International Movies, Romantic Movies",2020,5,Romantic Movies
s2492,Movie,The School of Mischief,Houssam El-Din Mustafa,Egypt,2020-05-21,1973,TV-14,253 min,"Comedies, Dramas, International Movies",2020,5,Comedies
s2492,Movie,The School of Mischief,Houssam El-Din Mustafa,Egypt,2020-05-21,1973,TV-14,253 min,"Comedies, Dramas, International Movies",2020,5,Dramas
s2492,Movie,The School of Mischief,Houssam El-Din Mustafa,Egypt,2020-05-21,1973,TV-14,253 min,"Comedies, Dramas, International Movies",2020,5,International Movies
s2571,Movie,Lady Driver,Shaun Paul Piccinino,United States,2020-05-02,2019,PG,104 min,"Dramas, Sports Movies",2020,5,Dramas
s2571,Movie,Lady Driver,Shaun Paul Piccinino,United States,2020-05-02,2019,PG,104 min,"Dramas, Sports Movies",2020,5,Sports Movies
s2490,Movie,Sayed the Servant,Hussein Kamal,Not Given,2020-05-21,1985,TV-14,173 min,"Comedies, International Movies",2020,5,Comedies
s2490,Movie,Sayed the Servant,Hussein Kamal,Not Given,2020-05-21,1985,TV-14,173 min,"Comedies, International Movies",2020,5,International Movies
s2493,Movie,The Witness Who Didn't See Anything,"Muhammad Fadl, Hany Motawie",Egypt,2020-05-21,1976,TV-PG,157 min,"Comedies, International Movies",2020,5,Comedies
s2493,Movie,The Witness Who Didn't See Anything,"Muhammad Fadl, Hany Motawie",Egypt,2020-05-21,1976,TV-PG,157 min,"Comedies, International Movies",2020,5,International Movies
s2494,Movie,Anchor Baby,Lonzo Nzekwe,Canada,2020-05-20,2010,TV-MA,97 min,"Dramas, International Movies",2020,5,Dramas
s2494,Movie,Anchor Baby,Lonzo Nzekwe,Canada,2020-05-20,2010,TV-MA,97 min,"Dramas, International Movies",2020,5,International Movies
